UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Physical,Horizon,BOOK,2017,3,1,Steve Jobs [text (large print)] / Walter Isaacson.,NA,"Isaacson, Walter","Jobs Steve 1955 2011, Computer engineers United States Biography, Businesspeople United States Biography, Apple Computer Inc History, Large type books","Thorndike Press,",2011.,Control
Digital,OverDrive,EBOOK,2017,2,2,The Art of War,NA,Tzu Sun,"History, Military, Nonfiction",Perseus Publishing,2010,Control
Physical,Horizon,BOOK,2017,3,101,Between the world and me / Ta-Nehisi Coates.,NA,"Coates, Ta-Nehisi","United States Race relations, Race discrimination United States, African Americans United States Social conditions, African Americans United States Public opinion, Whites United States Attitudes","Spiegel & Grau,",c2015.,Treatment
Physical,Horizon,BOOK,2017,2,24,Bad feminist : essays / Roxane Gay.,NA,"Gay, Roxane","Feminism, Popular culture, Gay Roxane Anecdotes, Women Conduct of life Anecdotes, Race awareness in motion pictures, African Americans in mass media, Essays","Harper Perennial,",c2014.,LGBT
Digital,OverDrive,EBOOK,2017,3,121,When Breath Becomes Air,NA,Paul Kalanithi,"Biography & Autobiography, Nonfiction, Philosophy, Sociology","Random House, Inc.",2016,Control
Digital,OverDrive,AUDIOBOOK,2017,2,40,When Breath Becomes Air (Unabridged),NA,Paul Kalanithi,"Biography & Autobiography, Nonfiction, Philosophy, Sociology",Books on Tape,2016,Control
Digital,OverDrive,AUDIOBOOK,2017,3,21,How to Win Friends and Influence People (Unabridged),NA,Dale Carnegie,"Nonfiction, Self-Improvement",Simon & Schuster - All Library,2008,Control
Digital,OverDrive,AUDIOBOOK,2017,3,89,Between the World and Me (Unabridged),NA,Ta-Nehisi Coates,"Biography & Autobiography, History, Nonfiction, Sociology",Books on Tape,2015,Treatment
Physical,Horizon,BOOK,2017,3,110,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,NA,"Kalanithi, Paul.","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Random House,",[2016],Control
Digital,OverDrive,AUDIOBOOK,2017,3,84,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (unabridged) (Unabridged),NA,Marie Kondo,"Home Design & Décor, Nonfiction, Self-Improvement","Tantor Media, Inc",2015,Control
Physical,Horizon,BOOK,2017,2,33,Stamped from the beginning : the definitive history of racist ideas in America / Ibram X. Kendi.,NA,"Kendi, Ibram X.","Racism United States History, United States Race relations","Nation Books,",[2016],Treatment
Digital,OverDrive,EBOOK,2017,3,5,Steve Jobs,NA,Walter Isaacson,"Biography & Autobiography, Business, Computer Technology, Nonfiction","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2017,2,3,The Art of War (Unabridged),NA,Sun Tzu,"History, Military, Nonfiction, Philosophy","Tantor Media, Inc",2007,Control
Digital,OverDrive,EBOOK,2017,3,53,Sapiens: A Brief History of Humankind,NA,Yuval Noah Harari,"History, Nonfiction, Science",HarperCollins Publishers Inc.,2015,Control
Physical,Horizon,BOOK,2017,3,45,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,NA,"Kalanithi, Paul.","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Control
Digital,OverDrive,AUDIOBOOK,2017,3,3,Art of War: The Denma Translation (unabridged) (Unabridged),NA,Sun Tzu,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2007,Control
Digital,OverDrive,AUDIOBOOK,2017,2,20,How to Win Friends and Influence People (Unabridged),NA,Dale Carnegie,"Nonfiction, Self-Improvement",Simon & Schuster - All Library,2008,Control
Physical,Horizon,BOOK,2017,3,23,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Physical,Horizon,BOOK,2017,3,2,Bettyville : a memoir / George Hodgman.,NA,"Hodgman, George.","Hodgman George, Adult children of aging parents United States Biography, Caregivers United States Biography, Aging parents Care United States, Mothers and sons United States, Sons Family relationships United States, Gay men Family relationships United States, Large type books","Thorndike Press,",2015.,LGBT
Physical,Horizon,BOOK,2017,2,24,"How to win friends and influence people / Dale Carnegie ; editorial consultant, Dorothy Carnegie ; editorial assistance, Arthur R. Pell.",NA,"Carnegie, Dale, 1888-1955","Success, Persuasion Psychology, Leadership, Business communication","Simon & Schuster,",2009.,Control
Digital,OverDrive,EBOOK,2017,3,18,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,NA,Michelle Alexander,"Nonfiction, Politics",Perseus Books Group,2010,Treatment
Physical,Horizon,BOOK,2017,2,35,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,NA,"Kalanithi, Paul.","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Control
Digital,OverDrive,AUDIOBOOK,2017,3,64,Wild: From Lost to Found on the Pacific Crest Trail (unabridged) (Unabridged),NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel",Books on Tape,2012,Control
Digital,OverDrive,AUDIOBOOK,2017,2,4,Art of War: The Denma Translation (unabridged) (Unabridged),NA,Sun Tzu,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2007,Control
Digital,OverDrive,EBOOK,2017,3,14,How to Win Friends and Influence People,NA,Dale Carnegie,"Business, Nonfiction, Psychology, Self Help","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,EBOOK,2017,2,40,Sapiens: A Brief History of Humankind,NA,Yuval Noah Harari,"History, Nonfiction, Science",HarperCollins Publishers Inc.,2015,Control
Digital,OverDrive,EBOOK,2017,2,24,Bad Feminist: Essays,NA,Roxane Gay,"Essays, Humor (Nonfiction), Nonfiction, Sociology",HarperCollins Publishers Inc.,2014,LGBT
Digital,OverDrive,EBOOK,2017,3,4,How to Win Friends and Influence People in the Digital Age,NA,Dale Carnegie & Associates,"Business, Nonfiction, Psychology, Self-Improvement","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2017,3,5,The Art of War (Unabridged),NA,Sun Tzu,"History, Military, Nonfiction, Philosophy","Tantor Media, Inc",2007,Control
Digital,OverDrive,EBOOK,2017,2,105,Wild: From Lost to Found on the Pacific Crest Trail,NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel","Random House, Inc.",2012,Control
Digital,OverDrive,EBOOK,2017,3,4,Bettyville: A Memoir,NA,George Hodgman,"Biography & Autobiography, Family & Relationships, Gay/Lesbian, Nonfiction","Penguin Group (USA), Inc.",2015,LGBT
Digital,OverDrive,EBOOK,2017,2,3,The Art of War: The Oldest Military Treatise in the World,NA,Sun Tzu,"Business, Nonfiction, Politics, Self-Improvement",Duke Classics,2011,Control
Physical,Horizon,BOOK,2017,2,31,Between the world and me / Ta-Nehisi Coates.,NA,"Coates, Ta-Nehisi","United States Race relations, Race discrimination United States, African Americans Social conditions, African Americans Public opinion, Whites United States Attitudes, Large type books","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Treatment
Digital,OverDrive,EBOOK,2017,2,3,How to Win Friends and Influence People in the Digital Age,NA,Dale Carnegie & Associates,"Business, Nonfiction, Psychology, Self-Improvement","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,EBOOK,2017,3,2,The Art of War: The Oldest Military Treatise in the World,NA,Sun Tzu,"Business, Nonfiction, Politics, Self-Improvement",Duke Classics,2011,Control
Digital,OverDrive,AUDIOBOOK,2017,2,53,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics (unabridged) (Unabridged),NA,Daniel James Brown,"History, Nonfiction","Recorded Books, LLC",2016,Control
Physical,Horizon,BOOK,2017,2,4,Bettyville : a memoir / George Hodgman.,NA,"Hodgman, George.","Hodgman George, Adult children of aging parents United States Biography, Caregivers United States Biography, Aging parents Care United States, Mothers and sons United States, Sons Family relationships United States, Gay men Family relationships United States","Viking,",c2015.,LGBT
Physical,Horizon,BOOK,2017,2,14,White rage : the unspoken truth of our racial divide / Carol Anderson.,NA,"Anderson, Carol (Carol Elaine)","African Americans Civil rights History, African Americans Politics and government, African Americans Social conditions, Whites United States Attitudes History, Whites United States Politics and government, Opposition Political science United States History, Racism United States History, United States Race relations History","Bloomsbury USA,",2016.,Treatment
Digital,OverDrive,AUDIOBOOK,2017,3,6,The Rules Do Not Apply: A Memoir (unabridged) (Unabridged),NA,Ariel Levy,"Biography & Autobiography, Nonfiction, Psychology, Sociology",Books on Tape,2017,LGBT
Digital,OverDrive,EBOOK,2017,3,192,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,NA,Marie Kondo,"Home Design & Décor, Nonfiction, Philosophy, Self-Improvement","Random House, Inc.",2014,Control
Physical,Horizon,BOOK,2017,2,23,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Physical,Horizon,BOOK,2017,3,7,Wild [text (large print)] : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel, Large type books","Thorndike Press,","2013, c2012.",Control
Digital,OverDrive,EBOOK,2017,2,13,How to Win Friends and Influence People,NA,Dale Carnegie,"Business, Nonfiction, Psychology, Self Help","Simon & Schuster, Inc.",2014,Control
